Temp,E_mean,E_std,M_mean,M_std
1.6,-1.917135417067926,0.0991556459428194,0.9752030425916841,0.0376478078368164
1.7000000000000002,-1.8722144304740236,0.11171308276625859,0.9628125633995971,0.036346603443896966
1.8000000000000003,-1.8372314364510933,0.13673183513734036,0.9462452484956143,0.0594483962366471
1.9000000000000004,-1.7714182747485854,0.1646082229140781,-0.9214682924220456,0.07548154893838235
2.0000000000000004,-1.7319303769830656,0.16557818824857223,0.9066093195185801,0.07888504507331617
2.1000000000000005,-1.6091378212905116,0.22481472814023856,-0.8438847741940411,0.14709574658322636
2.2000000000000006,-1.496195236309263,0.27709261831505655,-0.12890177926413415,0.774648349922597
2.3000000000000007,-1.2720944194537112,0.28749087506825194,0.38949389804536927,0.5373644156639836
2.400000000000001,-1.3279855989961535,0.2733129731262752,-0.6445849163636228,0.27406992696845983
2.500000000000001,-1.1155831192905699,0.2782824173869598,0.1149949982939696,0.5622349832466479
2.600000000000001,-1.0220364079842164,0.25868010668061064,-0.08395279125183981,0.521374361592471
2.700000000000001,-0.8655811157655087,0.18617333140943593,-0.011342268718835424,0.3341355836831452
2.800000000000001,-0.8663332669582694,0.23143787626277787,-0.033750750180345034,0.38686081155628377
2.9000000000000012,-0.804960992159689,0.20775068060237867,0.10601320277484423,0.3209282284854552
3.0000000000000013,-0.7342508505894961,0.1878897923395469,0.008093618589041113,0.3044762185972193
3.1000000000000014,-0.7135427091945098,0.19769159833028724,0.07907181476403247,0.30066901973839083
3.2000000000000015,-0.6825765160071323,0.18525200816639475,-0.06106021215013562,0.26448437880569325
3.3000000000000016,-0.6479935990566372,0.18535054943099466,-0.036735346989050746,0.25380872318387265
3.4000000000000017,-0.6301660339748008,0.18101344040695055,-0.016867373418118815,0.22982469946499703
3.5000000000000018,-0.6019443896388407,0.1716457771451357,-0.03302660532359792,0.21916885856587567
